Status,Date,Description,Debit,Credit
Cleared,11/25/2019,"ORDERS@GOODEGGS.COM 4154837344 CA",101.27,
Cleared,11/24/2019,"ONLINE PAYMENT, THANK YOU",,-26.77
Cleared,11/24/2019,"ONLINE PAYMENT, THANK YOU",,-15.38
Cleared,11/24/2019,"TRADER JOE'S #100 QPS SANFRANCISCO CA",111.51,
Cleared,11/22/2019,"HEALTHY SPIRITS CLEMEN SAN FRANCISCO CA",15.38,
Cleared,11/21/2019,"ONLINE PAYMENT, THANK YOU",,-45.33
Cleared,11/20/2019,"AMAZON.COM*LR8CT21G3 A AMZN.COM/BILL WA",14.85,
Cleared,11/19/2019,"AMAZON.COM*W81QG4PA3 A AMZN.COM/BILL WA",11.92,
Cleared,11/18/2019,"ONLINE PAYMENT, THANK YOU",,-411.14
Cleared,11/17/2019,"CAL-MART SUPERMARKET SAN FRANCISCO CA",45.33,
Cleared,11/17/2019,"TST* TACKO - SAN FRANC SAN FRANCISCO CA",33.67,
Cleared,11/17/2019,"SQ *SQ *BREADBELLY SAN FRANCISCO CA",11.31,
Cleared,11/16/2019,"SQ *SQ *BREADBELLY SAN FRANCISCO CA",40.14,
Cleared,11/16/2019,"SUR LA TABLE #127 SAN FRANCISCO CA",11.34,
Cleared,11/16/2019,"SQU*SQ *WRECKING BALL San Francisco CA",10.45,
Cleared,11/15/2019,"OSHA EXPRESS SAN FRANCISCO CA",27.67,
Cleared,11/12/2019,"ONLINE PAYMENT, THANK YOU",,-50.69
